customer_id,category,price,discount,quantity,payment_method,order_date,delivery_time,region,returned,total_amount,shipping_cost,profit_margin,age,gender,Month,age_group
C17270,Home,164.08,0.15,1,Credit Card,2023-12-23,4,West,No,139.47,7.88,31.17,60,Female,2023-12,56-65
C17603,Grocery,24.73,0.0,1,Credit Card,2025-04-03,6,South,No,24.73,4.6,-2.62,37,Male,2025-04,36-45
C10860,Electronics,175.58,0.05,1,Credit Card,2024-10-08,4,North,No,166.8,6.58,13.44,34,Male,2024-10,26-35
C15390,Electronics,63.67,0.0,1,UPI,2024-09-14,6,South,No,63.67,5.5,2.14,21,Female,2024-09,18-25
C15226,Home,16.33,0.15,1,COD,2024-12-21,6,East,No,13.88,2.74,1.15,39,Male,2024-12,36-45
C15191,Beauty,53.91,0.1,2,Credit Card,2024-04-14,5,South,No,97.04,6.32,37.35,35,Female,2024-04,26-35
C13772,Electronics,266.5,0.0,1,PayPal,2025-05-20,5,East,No,266.5,9.1,22.88,49,Male,2025-05,46-55
C13092,Beauty,9.98,0.0,1,Credit Card,2023-09-14,4,West,No,9.98,4.51,-0.02,66,Other,2023-09,
C15734,Fashion,6.61,0.05,1,Debit Card,2023-10-23,6,West,No,6.28,3.43,-1.23,37,Female,2023-10,36-45
C16265,Grocery,10.91,0.0,1,Credit Card,2023-10-31,6,South,No,10.91,2.76,-1.89,56,Male,2023-10,56-65
C10466,Beauty,6.61,0.1,1,Debit Card,2024-02-07,5,South,No,5.95,2.16,0.52,40,Female,2024-02,36-45
C15334,Beauty,16.22,0.0,1,PayPal,2024-07-08,5,South,No,16.22,3.72,3.58,21,Other,2024-07,18-25
C14426,Grocery,10.56,0.1,1,Credit Card,2024-10-13,4,West,No,9.5,4.99,-4.23,22,Female,2024-10,18-25
C15578,Toys,7.12,0.0,1,Debit Card,2023-11-01,5,North,No,7.12,3.35,-0.5,56,Female,2023-11,56-65
C16231,Home,39.19,0.0,2,Credit Card,2025-02-24,3,North,No,78.38,7.91,14.04,63,Male,2025-02,56-65
C13444,Home,12.63,0.2,4,Credit Card,2024-05-03,3,North,No,40.42,6.19,5.13,36,Male,2024-05,36-45
C13171,Sports,96.61,0.05,1,PayPal,2024-08-25,4,West,No,91.78,3.6,23.93,47,Male,2024-08,46-55
C12919,Fashion,16.0,0.0,3,PayPal,2024-09-12,5,South,No,48.0,4.48,12.32,37,Male,2024-09,36-45
C17831,Electronics,734.32,0.0,2,Wallet,2025-06-20,4,South,No,1468.64,10.9,165.34,58,Female,2025-06,56-65
C10130,Fashion,50.52,0.0,1,Credit Card,2024-10-10,3,North,Yes,50.52,6.2,11.48,56,Male,2024-10,56-65
C11685,Toys,17.99,0.0,2,PayPal,2024-05-10,4,West,No,35.98,5.56,8.83,64,Female,2024-05,56-65
C17476,Fashion,39.54,0.0,1,COD,2024-11-14,6,North,No,39.54,5.3,8.54,49,Other,2024-11,46-55
C10769,Electronics,128.8,0.0,1,Debit Card,2024-12-14,4,North,No,128.8,7.77,7.69,41,Female,2024-12,36-45
C12391,Fashion,176.45,0.0,1,Debit Card,2025-05-16,7,South,No,176.45,6.67,55.09,34,Male,2025-05,26-35
C15611,Sports,345.57,0.15,2,Debit Card,2024-04-16,5,Central,No,587.47,9.48,166.76,32,Female,2024-04,26-35
C17581,Beauty,12.49,0.0,3,UPI,2024-08-31,7,East,No,37.47,5.46,11.4,49,Female,2024-08,46-55
C16949,Sports,157.21,0.15,1,Debit Card,2025-08-26,5,South,No,133.63,6.75,33.34,20,Female,2025-08,18-25
C12433,Fashion,11.24,0.0,2,Debit Card,2025-08-19,4,West,No,22.48,6.09,1.78,60,Female,2025-08,56-65
C15311,Grocery,20.97,0.0,2,PayPal,2024-05-27,6,South,No,41.94,4.61,-1.25,61,Female,2024-05,56-65
C15051,Home,54.42,0.0,2,UPI,2023-10-11,6,East,No,108.84,8.05,22.43,36,Female,2023-10,36-45
C16420,Home,54.93,0.15,1,Credit Card,2023-11-12,6,South,No,46.69,5.74,7.33,44,Male,2023-11,36-45
C11184,Grocery,10.32,0.15,1,Debit Card,2024-04-08,7,East,No,8.77,1.24,-0.54,32,Male,2024-04,26-35
C14555,Grocery,7.56,0.0,1,Credit Card,2023-12-30,5,North,No,7.56,2.06,-1.46,61,Female,2023-12,56-65
C13385,Sports,22.33,0.05,1,Credit Card,2024-08-06,4,South,No,21.21,4.26,2.1,26,Male,2024-08,26-35
C14117,Grocery,12.84,0.0,2,Debit Card,2024-08-08,3,North,No,25.68,6.32,-4.27,21,Female,2024-08,18-25
C16396,Beauty,8.89,0.0,2,Credit Card,2024-04-04,4,South,No,17.78,4.78,3.22,19,Female,2024-04,18-25
C14843,Fashion,33.9,0.0,2,Debit Card,2025-05-27,5,South,No,67.8,4.98,18.75,28,Female,2025-05,26-35
C12904,Fashion,17.92,0.0,1,Credit Card,2024-07-10,5,West,No,17.92,5.86,0.41,28,Male,2024-07,26-35
C17728,Beauty,50.75,0.0,2,Credit Card,2025-02-13,7,West,No,101.5,6.46,39.22,46,Female,2025-02,46-55
